ano,id_municipio,quantidade_vinculos_ativos,cnae_2,cep
2023,4314902,0,46427,91220450
2023,4314902,0,95118,90550080
2023,4314902,0,86101,90420030
2023,4314902,0,42120,91530360
2023,4314902,0,85112,91755190
2023,4314902,0,46133,90240610
2023,4314902,0,62023,90670030
2023,4314902,0,59111,90619900
2023,4314902,0,66126,91330000
2023,4314902,0,11224,90200210
2023,4314902,0,46630,90050240
2023,4314902,0,93298,91225120
2023,4314902,0,62040,91330000
2023,4314902,0,74200,90660080
2023,4314902,0,64921,90035077
2023,4314902,0,55906,90130061
2023,4314902,0,47610,90240004
2023,4314902,0,61906,91225000
2023,4314902,0,58191,90010460
2023,4314902,0,75001,90450071
2023,4314902,0,80200,91760000
2023,4314902,0,81214,91350080
2023,4314902,0,37029,91440760
2023,4314902,0,86402,91530008
2023,4314902,0,47610,90880480
2023,4314902,0,75001,91720030
